Tiempo (s),Setpoint (SP),Temperatura (T),Control PWM (Q)
218,60.0,59.433,100.0
219,60.0,59.824,29.51259054051522
220,60.0,59.531,100.0
221,60.0,59.677,100.0
222,60.0,59.482,100.0
223,60.0,59.629,100.0
224,60.0,59.335,100.0
225,60.0,59.531,100.0
226,60.0,59.384,100.0
227,60.0,59.531,100.0
228,60.0,59.629,100.0
229,60.0,59.482,100.0
230,60.0,59.629,100.0
231,60.0,59.873,71.59171211093278
232,60.0,59.629,100.0
233,60.0,60.02,20.858852091071
234,60.0,59.58,100.0
235,60.0,60.02,6.390242033291244
236,60.0,59.531,100.0
237,60.0,59.922,27.50360827361888
238,60.0,59.482,100.0
239,60.0,59.873,32.86323230091682
240,60.0,59.677,100.0
241,60.0,59.873,91.42792628541486
242,60.0,59.971,100.0
243,60.0,60.02,100.0
244,60.0,59.922,100.0
245,60.0,60.215,40.1584229653389
246,60.0,59.726,100.0
247,60.0,60.068,32.85053696338599
248,60.0,59.971,100.0
249,60.0,60.166,66.1191893495651
250,60.0,60.264,83.01095745171727
251,60.0,60.215,100.0
252,60.0,60.411,38.20274749263613
253,60.0,60.068,100.0
254,60.0,60.411,0.0
255,60.0,59.922,100.0
256,60.0,60.508,0.0
257,60.0,59.922,100.0
258,60.0,60.264,0.0
259,60.0,59.677,100.0
260,60.0,59.922,52.91107897088192
261,60.0,59.775,100.0
262,60.0,60.068,29.62836853588597
263,60.0,59.824,100.0
264,60.0,59.971,77.48650980331908
265,60.0,59.873,100.0
266,60.0,59.58,100.0
267,60.0,59.677,100.0
268,60.0,59.677,100.0
269,60.0,59.677,100.0
270,60.0,59.677,100.0
271,60.0,59.775,100.0
272,60.0,59.971,64.03652271355207
273,60.0,59.922,100.0
274,60.0,60.166,35.99704674253101
275,60.0,60.117,100.0
276,60.0,60.459,0.0
277,60.0,60.02,100.0
278,60.0,60.655,0.0
279,60.0,60.362,100.0
280,60.0,60.753,0.0
281,60.0,60.264,100.0
282,60.0,60.508,6.455492233338916
283,60.0,60.215,100.0
284,60.0,60.508,0.0
285,60.0,60.166,100.0
286,60.0,60.704,0.0
287,60.0,60.459,100.0
288,60.0,60.753,0.0
289,60.0,60.215,100.0
290,60.0,60.753,0.0
291,60.0,60.117,100.0
292,60.0,60.264,42.328397135491436
293,60.0,60.313,61.207854636594796
294,60.0,60.166,100.0
295,60.0,60.362,8.804461264482256
296,60.0,59.873,100.0
297,60.0,60.117,6.203784261476073
298,60.0,59.824,100.0
299,60.0,60.166,0.0
300,60.0,59.726,100.0
301,60.0,60.02,0.0
302,60.0,59.531,100.0
303,60.0,59.922,0.0
304,60.0,59.531,100.0
305,60.0,59.726,47.65325957385153
306,60.0,59.677,100.0
307,60.0,59.677,100.0
308,60.0,59.677,100.0
309,60.0,59.629,100.0
310,60.0,59.677,99.24591221631933
311,60.0,59.775,84.14458503164333
312,60.0,59.922,63.554662109888945
313,60.0,59.726,100.0
314,60.0,59.873,68.9142861371869
315,60.0,59.58,100.0
316,60.0,59.824,47.473634737377054
317,60.0,59.726,100.0
318,60.0,59.873,75.21311795979543
319,60.0,60.02,66.63879468305319
320,60.0,59.922,100.0
321,60.0,60.02,80.27587578735314
322,60.0,60.459,0.0
323,60.0,59.873,100.0
324,60.0,60.02,65.8072657295734
325,60.0,60.02,100.0
326,60.0,59.971,100.0
327,60.0,60.117,58.27829750760714
328,60.0,59.824,100.0
329,60.0,59.971,66.69742163192066
330,60.0,60.117,56.44893380995202
331,60.0,60.068,100.0
332,60.0,60.068,99.62659816519682
333,60.0,60.166,62.63102264617666
334,60.0,60.068,100.0
335,60.0,60.313,5.807213042076327
336,60.0,59.873,100.0
337,60.0,60.264,0.0
338,60.0,59.775,100.0
339,60.0,60.264,0.0
340,60.0,59.677,100.0
341,60.0,60.264,0.0
342,60.0,59.677,100.0
343,60.0,60.166,0.0
344,60.0,59.726,100.0
345,60.0,60.166,0.0
346,60.0,59.824,100.0
347,60.0,59.922,71.28788764448363
348,60.0,59.824,100.0
349,60.0,59.922,72.90936910376904
350,60.0,59.726,100.0
351,60.0,59.677,100.0
352,60.0,59.58,100.0
353,60.0,59.677,93.50835617007651
354,60.0,59.677,100.0
355,60.0,59.922,39.08691011928315
356,60.0,59.58,100.0
357,60.0,59.922,12.889493183448181
358,60.0,59.335,100.0
359,60.0,59.726,15.41069933374392
360,60.0,59.335,100.0
361,60.0,60.02,0.0
362,60.0,59.286,100.0
363,60.0,59.873,0.0
364,60.0,59.384,100.0
365,60.0,59.873,0.0
366,60.0,59.58,100.0
367,60.0,60.117,0.0
368,60.0,59.824,100.0
369,60.0,60.264,0.0
370,60.0,59.775,100.0
371,60.0,60.166,0.0
372,60.0,59.531,100.0
373,60.0,60.02,0.0
374,60.0,59.775,100.0
375,60.0,59.971,58.34054938221697
376,60.0,59.971,100.0
377,60.0,60.215,26.56293084318078
378,60.0,59.824,100.0
379,60.0,60.117,15.516902273215337
380,60.0,59.726,100.0
381,60.0,60.068,2.7699770712600866
382,60.0,59.482,100.0
383,60.0,59.971,0.0
384,60.0,59.286,100.0
385,60.0,59.726,0.0
386,60.0,59.335,100.0
387,60.0,59.971,0.0
388,60.0,59.433,100.0
389,60.0,59.922,0.0
390,60.0,59.384,100.0
391,60.0,59.629,62.66598210990436
392,60.0,59.677,100.0
393,60.0,59.726,100.0
394,60.0,59.922,62.07869195022966
395,60.0,59.775,100.0
396,60.0,59.971,59.96203084150252
397,60.0,59.922,100.0
398,60.0,59.824,100.0
399,60.0,59.824,100.0
400,60.0,59.824,100.0
401,60.0,60.068,39.39884000650653
402,60.0,59.531,100.0
403,60.0,59.922,6.96484312267242
404,60.0,59.531,100.0
405,60.0,60.068,0.0
406,60.0,59.58,100.0
407,60.0,59.775,76.01213461015487
408,60.0,59.629,100.0
409,60.0,59.873,59.16035425641306
410,60.0,59.775,100.0
411,60.0,59.824,100.0
412,60.0,60.117,29.133188886445268
413,60.0,59.726,100.0
414,60.0,60.215,0.0
415,60.0,59.824,100.0
416,60.0,60.068,44.4919548465697
417,60.0,59.775,100.0
418,60.0,60.117,11.234521895562082
419,60.0,59.677,100.0
420,60.0,60.117,0.0
421,60.0,59.433,100.0
422,60.0,60.215,0.0
423,60.0,59.726,100.0
424,60.0,60.02,29.968349032900335
425,60.0,59.922,100.0
426,60.0,60.117,50.54507197301379
427,60.0,60.02,100.0
428,60.0,60.313,5.054588349955409
429,60.0,59.873,100.0
430,60.0,60.508,0.0
431,60.0,60.166,100.0
432,60.0,60.753,0.0
433,60.0,60.264,100.0
434,60.0,60.655,0.0
435,60.0,60.264,100.0
436,60.0,60.508,0.0
437,60.0,59.922,100.0
438,60.0,60.508,0.0
439,60.0,60.117,100.0
440,60.0,60.117,97.53072528030752
441,60.0,60.215,59.51652679327219
442,60.0,59.971,100.0
443,60.0,59.971,100.0
444,60.0,60.117,48.75729099026609
445,60.0,60.068,100.0
446,60.0,60.117,74.1439671964585
447,60.0,59.824,100.0
448,60.0,60.215,0.0
449,60.0,59.873,100.0
450,60.0,60.117,15.78715545033046
451,60.0,60.02,100.0
452,60.0,60.557,0.0
453,60.0,60.117,100.0
454,60.0,60.411,0.0
455,60.0,60.117,100.0
456,60.0,60.362,0.0
457,60.0,60.068,100.0
458,60.0,60.313,0.0
459,60.0,59.824,100.0
460,60.0,60.459,0.0
461,60.0,59.824,100.0
462,60.0,60.362,0.0
463,60.0,59.873,100.0
464,60.0,60.606,0.0
465,60.0,59.971,100.0
466,60.0,60.459,0.0
467,60.0,60.068,100.0
468,60.0,60.508,0.0
469,60.0,60.068,100.0
470,60.0,60.459,0.0
471,60.0,59.922,100.0
472,60.0,60.166,9.616790693389959
473,60.0,59.531,100.0
474,60.0,59.922,0.0
475,60.0,59.335,100.0
476,60.0,59.629,32.79329818891462
477,60.0,59.384,100.0
478,60.0,59.775,1.5486917571173393
479,60.0,59.238,100.0
480,60.0,59.629,17.364181200641298
481,60.0,59.286,100.0
482,60.0,59.482,92.21562950540292
483,60.0,59.433,100.0
484,60.0,59.531,100.0
485,60.0,59.384,100.0
486,60.0,59.433,100.0
487,60.0,59.384,100.0
488,60.0,59.531,100.0
489,60.0,59.629,100.0
490,60.0,59.58,100.0
491,60.0,59.58,100.0
492,60.0,59.58,100.0
493,60.0,59.677,100.0
494,60.0,59.384,100.0
495,60.0,59.58,95.50764431693943
496,60.0,59.482,100.0
497,60.0,59.531,100.0
498,60.0,59.531,100.0
499,60.0,59.531,100.0
500,60.0,59.873,40.01438756807724
501,60.0,59.58,100.0
502,60.0,60.068,0.0
503,60.0,59.922,100.0
504,60.0,60.313,0.0
505,60.0,59.824,100.0
506,60.0,60.313,0.0
507,60.0,60.02,100.0
508,60.0,60.704,0.0
509,60.0,60.264,100.0
510,60.0,60.753,0.0
511,60.0,60.166,100.0
512,60.0,60.704,0.0
513,60.0,60.117,100.0
514,60.0,60.606,0.0
515,60.0,60.264,100.0
516,60.0,60.655,0.0
517,60.0,60.166,100.0
518,60.0,60.753,0.0
519,60.0,60.264,100.0
520,60.0,60.704,0.0
521,60.0,60.459,100.0
522,60.0,60.802,0.0
523,60.0,60.313,100.0
524,60.0,60.948,0.0
525,60.0,60.313,100.0
526,60.0,60.606,0.7877763038999461
527,60.0,60.166,100.0
528,60.0,60.655,0.0
529,60.0,60.117,100.0
530,60.0,60.606,0.0
531,60.0,60.166,100.0
532,60.0,60.704,0.0
533,60.0,60.068,100.0
534,60.0,60.704,0.0
535,60.0,60.313,100.0
536,60.0,60.704,0.0
537,60.0,60.166,100.0
538,60.0,60.557,0.0
539,60.0,60.117,100.0
540,60.0,60.704,0.0
541,60.0,60.117,100.0
542,60.0,60.313,38.36157783803985
543,60.0,59.971,100.0
544,60.0,60.313,0.0
545,60.0,59.726,100.0
546,60.0,60.068,8.673832640966552
547,60.0,59.971,100.0
548,60.0,60.264,6.3605087290382585
549,60.0,59.971,100.0
550,60.0,60.459,0.0
551,60.0,59.873,100.0
552,60.0,60.264,0.0
553,60.0,59.873,100.0
554,60.0,59.971,79.14957397751354
555,60.0,60.313,0.0
556,60.0,59.775,100.0
557,60.0,60.362,0.0
558,60.0,59.824,100.0
559,60.0,60.02,47.90859873869154
560,60.0,59.726,100.0
561,60.0,59.971,37.17813124892692
562,60.0,59.58,100.0
563,60.0,59.922,13.700233913091921
564,60.0,59.677,100.0
565,60.0,59.873,60.931601916550086
566,60.0,60.02,66.4101242208477
567,60.0,59.922,100.0
568,60.0,60.166,27.037322268789183
569,60.0,59.775,100.0
570,60.0,60.264,0.0
571,60.0,59.726,100.0
572,60.0,60.117,0.0
573,60.0,59.775,100.0
574,60.0,60.068,17.009916666833902
575,60.0,59.775,100.0
576,60.0,59.971,50.815212353227174
577,60.0,59.629,100.0
578,60.0,59.922,27.337315017392157
579,60.0,59.482,100.0
580,60.0,59.629,93.18310723707626
581,60.0,59.629,100.0
582,60.0,59.775,90.04419196735867
583,60.0,59.726,100.0
584,60.0,59.824,100.0
585,60.0,59.922,97.27316744072468
586,60.0,59.971,100.0
587,60.0,60.02,100.0
588,60.0,60.068,100.0
589,60.0,60.215,62.489236534729194
590,60.0,59.873,100.0
591,60.0,60.068,55.46814329973563
592,60.0,59.971,100.0
593,60.0,60.166,46.57825894279517
594,60.0,59.824,100.0
595,60.0,60.117,18.75986519178747
596,60.0,59.922,100.0
597,60.0,60.313,0.0
598,60.0,59.775,100.0
599,60.0,60.166,0.0
