Tiempo (s),Setpoint (SP),Temperatura (T),Control PWM (Q)
0,60.0,27.273,0.0
1,60.0,27.077,0.0
2,60.0,27.175,0.0
3,60.0,27.175,0.0
4,60.0,27.273,0.0
5,60.0,26.979,0.0
6,60.0,27.077,0.0
7,60.0,27.224,0.0
8,60.0,27.126,0.0
9,60.0,27.126,0.0
10,60.0,27.077,100.0
11,60.0,27.077,100.0
12,60.0,27.273,100.0
13,60.0,27.273,100.0
14,60.0,27.322,100.0
15,60.0,27.517,100.0
16,60.0,27.517,100.0
17,60.0,27.566,100.0
18,60.0,27.566,100.0
19,60.0,27.713,100.0
20,60.0,27.957,100.0
21,60.0,27.859,100.0
22,60.0,28.055,100.0
23,60.0,28.006,100.0
24,60.0,28.201,100.0
25,60.0,28.299,100.0
26,60.0,28.543,100.0
27,60.0,28.739,100.0
28,60.0,29.13,100.0
29,60.0,28.935,100.0
30,60.0,29.521,100.0
31,60.0,29.521,100.0
32,60.0,29.765,100.0
33,60.0,29.912,100.0
34,60.0,30.108,100.0
35,60.0,30.352,100.0
36,60.0,30.45,100.0
37,60.0,30.694,100.0
38,60.0,30.987,100.0
39,60.0,30.987,100.0
40,60.0,31.232,100.0
41,60.0,31.818,100.0
42,60.0,31.867,100.0
43,60.0,32.111,100.0
44,60.0,32.454,100.0
45,60.0,32.649,100.0
46,60.0,32.942,100.0
47,60.0,33.187,100.0
48,60.0,33.382,100.0
49,60.0,33.675,100.0
50,60.0,34.018,100.0
51,60.0,34.213,100.0
52,60.0,34.36,100.0
53,60.0,34.409,100.0
54,60.0,34.995,100.0
55,60.0,35.044,100.0
56,60.0,35.142,100.0
57,60.0,35.533,100.0
58,60.0,35.631,100.0
59,60.0,36.07,100.0
60,60.0,36.266,100.0
61,60.0,36.364,100.0
62,60.0,36.706,100.0
63,60.0,36.901,100.0
64,60.0,36.95,100.0
65,60.0,37.439,100.0
66,60.0,37.781,100.0
67,60.0,37.928,100.0
68,60.0,38.221,100.0
69,60.0,38.514,100.0
70,60.0,38.661,100.0
71,60.0,38.905,100.0
72,60.0,39.15,100.0
73,60.0,39.394,100.0
74,60.0,39.589,100.0
75,60.0,39.736,100.0
76,60.0,40.029,100.0
77,60.0,40.323,100.0
78,60.0,40.714,100.0
79,60.0,40.762,100.0
80,60.0,41.251,100.0
81,60.0,41.202,100.0
82,60.0,41.642,100.0
83,60.0,42.033,100.0
84,60.0,42.229,100.0
85,60.0,42.375,100.0
86,60.0,42.766,100.0
87,60.0,43.011,100.0
88,60.0,43.206,100.0
89,60.0,43.304,100.0
90,60.0,43.548,100.0
91,60.0,43.891,100.0
92,60.0,44.037,100.0
93,60.0,44.428,100.0
94,60.0,44.624,100.0
95,60.0,44.673,100.0
96,60.0,45.015,100.0
97,60.0,45.064,100.0
98,60.0,45.308,100.0
99,60.0,45.406,100.0
100,60.0,45.846,100.0
101,60.0,45.894,100.0
102,60.0,46.334,100.0
103,60.0,46.334,100.0
104,60.0,46.579,100.0
105,60.0,46.921,100.0
106,60.0,46.97,100.0
107,60.0,47.019,100.0
108,60.0,47.312,100.0
109,60.0,47.458,100.0
110,60.0,47.849,100.0
111,60.0,47.996,100.0
112,60.0,48.143,100.0
113,60.0,48.143,100.0
114,60.0,48.485,100.0
115,60.0,48.583,100.0
116,60.0,48.827,100.0
117,60.0,49.169,100.0
118,60.0,49.316,100.0
119,60.0,49.316,100.0
120,60.0,49.511,100.0
121,60.0,49.804,100.0
122,60.0,49.902,100.0
123,60.0,50.049,100.0
124,60.0,50.196,100.0
125,60.0,50.293,100.0
126,60.0,50.538,100.0
127,60.0,51.026,100.0
128,60.0,50.88,100.0
129,60.0,50.929,100.0
130,60.0,51.173,100.0
131,60.0,51.515,100.0
132,60.0,51.662,100.0
133,60.0,51.808,100.0
134,60.0,51.857,100.0
135,60.0,52.004,100.0
136,60.0,52.102,100.0
137,60.0,52.444,100.0
138,60.0,52.395,100.0
139,60.0,52.884,100.0
140,60.0,53.079,100.0
141,60.0,52.933,100.0
142,60.0,53.177,100.0
143,60.0,53.519,100.0
144,60.0,53.666,100.0
145,60.0,53.763,100.0
146,60.0,53.91,100.0
147,60.0,53.959,100.0
148,60.0,54.057,100.0
149,60.0,54.203,100.0
150,60.0,54.545,100.0
151,60.0,54.741,100.0
152,60.0,54.692,100.0
153,60.0,54.985,100.0
154,60.0,55.132,100.0
155,60.0,55.279,100.0
156,60.0,55.376,100.0
157,60.0,55.67,100.0
158,60.0,55.718,100.0
159,60.0,56.012,100.0
160,60.0,55.914,100.0
161,60.0,56.012,100.0
162,60.0,55.718,100.0
163,60.0,56.256,100.0
164,60.0,56.207,100.0
165,60.0,56.5,100.0
166,60.0,56.354,100.0
167,60.0,56.745,100.0
168,60.0,56.696,100.0
169,60.0,56.94,100.0
170,60.0,56.843,100.0
171,60.0,57.087,100.0
172,60.0,57.038,100.0
173,60.0,57.136,100.0
174,60.0,57.429,100.0
175,60.0,57.38,100.0
176,60.0,57.478,100.0
177,60.0,57.722,100.0
178,60.0,57.869,100.0
179,60.0,57.967,100.0
180,60.0,58.211,66.50291290613802
181,60.0,58.065,100.0
182,60.0,58.162,100.0
183,60.0,58.309,100.0
184,60.0,58.504,95.39332414731729
185,60.0,58.309,100.0
186,60.0,58.602,90.91053070935187
187,60.0,58.749,100.0
188,60.0,58.504,100.0
189,60.0,58.749,100.0
190,60.0,58.798,100.0
191,60.0,59.14,64.87634242812453
192,60.0,59.189,100.0
193,60.0,59.629,17.34338670956889
194,60.0,59.433,100.0
195,60.0,59.922,0.0
196,60.0,59.58,100.0
197,60.0,60.166,0.0
198,60.0,59.677,100.0
199,60.0,60.117,0.0
200,60.0,59.58,100.0
201,60.0,60.117,0.0
202,60.0,59.775,100.0
203,60.0,60.508,0.0
204,60.0,59.824,100.0
205,60.0,60.459,0.0
206,60.0,59.775,100.0
207,60.0,60.117,15.932660482720678
208,60.0,59.677,100.0
209,60.0,60.215,0.0
210,60.0,59.677,100.0
211,60.0,60.166,0.0
212,60.0,59.531,100.0
213,60.0,60.068,0.0
214,60.0,59.58,100.0
215,60.0,60.02,0.0
216,60.0,59.335,100.0
217,60.0,59.629,64.49533954032508
